Location,Area,Bedrooms,Bathrooms,Floors,Property_Age,Parking,Kitchen,Balcony,Furnishing,Property_Type,Construction_Quality,Price
Kakinada,4069,3,3,4,13,No,Yes,2,Fully Furnished,Villa,High,47853000.0
Chennai,3650,4,3,3,11,No,Yes,0,Semi Furnished,Independent House,High,46696000.0
Srikakulam,2105,1,1,1,28,Yes,Yes,3,Fully Furnished,Apartment,Low,9697000.0
Tirupati,2794,5,4,2,20,Yes,Yes,0,Semi Furnished,Independent House,Medium,23180000.0
Srikakulam,4162,4,3,1,10,Yes,Yes,3,Semi Furnished,Apartment,Medium,23144000.0
Ongole,4982,2,2,3,27,No,Yes,1,Fully Furnished,Villa,Medium,42555000.0
Anantapur,1483,2,1,3,4,Yes,Yes,3,Unfurnished,Independent House,Low,8094000.0
Visakhapatnam,851,2,3,4,15,Yes,Yes,1,Semi Furnished,Independent House,Medium,8089000.0
Chennai,2224,4,3,3,29,Yes,Yes,2,Semi Furnished,Apartment,Low,20467000.0
Ongole,2451,5,2,3,25,Yes,No,0,Semi Furnished,Apartment,Low,12689000.0
Mumbai,1779,3,3,3,17,Yes,Yes,0,Unfurnished,Villa,High,39869000.0
Mumbai,2407,1,3,3,11,No,Yes,1,Semi Furnished,Plot,High,31194000.0
Ongole,1524,3,3,2,26,Yes,Yes,2,Unfurnished,Apartment,Medium,7798000.0
Hyderabad,1045,5,3,2,26,Yes,Yes,1,Semi Furnished,Apartment,Low,10627000.0
Kurnool,4674,3,2,1,4,Yes,Yes,3,Fully Furnished,Apartment,Medium,30686000.0
Srikakulam,2881,4,3,4,15,No,Yes,1,Semi Furnished,Villa,Medium,21317000.0
Kakinada,1388,2,3,2,30,Yes,Yes,2,Semi Furnished,Plot,High,7487000.0
Hyderabad,1605,5,3,3,11,Yes,Yes,3,Unfurnished,Plot,Medium,13248000.0
Tirupati,3049,5,1,4,22,Yes,Yes,0,Unfurnished,Villa,Medium,27487000.0
Kadapa,2490,3,2,2,1,No,Yes,0,Unfurnished,Plot,High,11930000.0
Delhi,4498,4,1,1,29,Yes,Yes,0,Fully Furnished,Independent House,Medium,66718000.0
Kadapa,4275,3,1,3,28,Yes,Yes,2,Fully Furnished,Villa,Medium,33586000.0
Tirupati,3312,3,2,4,5,No,Yes,2,Unfurnished,Apartment,Low,20686000.0
Delhi,1420,5,1,2,22,No,Yes,2,Fully Furnished,Plot,Medium,15213000.0
Guntur,2561,3,1,4,20,Yes,Yes,2,Unfurnished,Independent House,High,19568000.0
Anantapur,4987,2,1,2,24,No,Yes,2,Fully Furnished,Villa,High,46816000.0
Kurnool,4139,3,2,1,29,Yes,Yes,3,Unfurnished,Villa,Low,24606000.0
Bengaluru,3665,2,3,3,3,Yes,Yes,1,Unfurnished,Apartment,High,46476000.0
Delhi,4935,5,4,1,29,Yes,Yes,0,Fully Furnished,Apartment,High,81527000.0
Kadapa,3144,4,4,3,29,Yes,Yes,2,Semi Furnished,Villa,High,26396000.0
Bengaluru,1545,2,2,3,12,Yes,Yes,0,Unfurnished,Independent House,Medium,17888000.0
Mumbai,4056,4,4,4,9,Yes,Yes,2,Unfurnished,Apartment,Low,51796000.0
Anantapur,3181,4,2,2,30,No,Yes,0,Semi Furnished,Villa,Low,20293000.0
Ongole,3699,2,2,1,16,No,Yes,1,Unfurnished,Villa,Low,23115000.0
Srikakulam,1438,5,4,1,13,Yes,Yes,0,Unfurnished,Apartment,Low,7804000.0
Chennai,941,1,1,1,23,Yes,Yes,0,Fully Furnished,Plot,High,8040000.0
Nellore,3050,4,3,4,14,Yes,Yes,2,Semi Furnished,Independent House,Medium,22438000.0
Delhi,4725,4,4,4,7,Yes,Yes,3,Unfurnished,Plot,High,47595000.0
Nellore,1096,5,4,4,22,Yes,Yes,3,Unfurnished,Plot,High,7512000.0
Visakhapatnam,2005,5,4,3,23,Yes,Yes,0,Semi Furnished,Independent House,High,21683000.0
Nellore,1361,3,4,1,17,Yes,Yes,3,Semi Furnished,Independent House,High,12280000.0
Pune,3140,5,2,3,2,Yes,Yes,1,Fully Furnished,Apartment,Low,35928000.0
Srikakulam,4231,4,2,1,24,No,Yes,1,Fully Furnished,Apartment,Low,21174000.0
Kakinada,2051,2,3,1,16,No,Yes,3,Fully Furnished,Apartment,Medium,15571000.0
Guntur,3736,1,3,2,23,Yes,Yes,3,Unfurnished,Independent House,High,27979000.0
Delhi,2236,3,4,1,23,Yes,Yes,1,Semi Furnished,Plot,Low,18697000.0
Tirupati,1949,2,4,4,6,Yes,Yes,3,Fully Furnished,Independent House,Medium,19040000.0
Ongole,764,1,4,4,12,Yes,Yes,3,Semi Furnished,Apartment,High,6824000.0
Anantapur,3159,1,3,4,29,Yes,Yes,2,Unfurnished,Plot,High,12139000.0
Guntur,3221,1,4,2,26,Yes,Yes,2,Unfurnished,Apartment,Low,16288000.0
Pune,1962,2,1,2,15,Yes,No,3,Semi Furnished,Plot,High,17721000.0
Vijayawada,4752,3,3,3,4,Yes,Yes,3,Semi Furnished,Apartment,High,44601000.0
Kadapa,1945,3,1,1,3,Yes,Yes,2,Fully Furnished,Independent House,Low,13066000.0
Kakinada,2798,1,4,1,25,Yes,Yes,2,Semi Furnished,Villa,Medium,23884000.0
Anantapur,3425,2,2,4,9,Yes,Yes,3,Fully Furnished,Villa,Medium,29148000.0
Pune,2132,1,1,4,12,No,Yes,2,Semi Furnished,Plot,Low,15023000.0
Pune,2874,5,3,4,30,No,Yes,1,Semi Furnished,Independent House,Low,29416000.0
Vijayawada,1012,3,1,4,9,Yes,Yes,0,Semi Furnished,Apartment,Medium,8688000.0
Kurnool,715,4,3,4,13,Yes,Yes,1,Unfurnished,Plot,Medium,5036000.0
Chennai,3831,1,4,4,25,No,Yes,2,Unfurnished,Plot,Low,21567000.0
Kurnool,2672,5,1,1,21,Yes,Yes,1,Unfurnished,Apartment,Low,12959000.0
Vijayawada,3653,3,2,2,11,No,Yes,0,Fully Furnished,Apartment,Low,28900000.0
Guntur,2206,2,1,4,26,Yes,Yes,2,Fully Furnished,Apartment,High,18664000.0
Ongole,2606,3,2,1,0,No,Yes,1,Unfurnished,Independent House,Low,15002000.0
Nellore,2067,2,3,4,28,No,Yes,1,Unfurnished,Villa,High,18539000.0
Vijayawada,2708,2,4,3,20,Yes,Yes,0,Semi Furnished,Plot,Medium,14727000.0
Mumbai,2831,1,4,3,29,Yes,Yes,2,Semi Furnished,Plot,Medium,29659000.0
Vijayawada,2653,1,2,1,19,Yes,Yes,3,Fully Furnished,Villa,Low,27182000.0
Ongole,1628,3,3,2,19,Yes,Yes,2,Fully Furnished,Plot,Low,7495000.0
Vijayawada,4010,5,4,3,6,Yes,Yes,0,Semi Furnished,Independent House,Medium,35594000.0
Mumbai,4823,3,3,3,8,Yes,Yes,0,Fully Furnished,Apartment,Medium,82527000.0
Mumbai,4153,4,2,2,7,Yes,Yes,0,Unfurnished,Villa,Medium,77588000.0
Anantapur,2865,2,2,3,26,Yes,Yes,0,Semi Furnished,Independent House,Medium,15754000.0
Srikakulam,3421,2,1,4,12,No,Yes,3,Semi Furnished,Apartment,Low,16575000.0
Bengaluru,1579,1,4,2,13,Yes,Yes,2,Fully Furnished,Villa,High,32840000.0
Rajahmundry,4011,5,4,3,11,Yes,Yes,2,Semi Furnished,Independent House,Medium,28827000.0
Kurnool,3241,1,1,2,7,Yes,Yes,1,Semi Furnished,Villa,Medium,25661000.0
Ongole,3520,4,2,4,20,Yes,Yes,3,Unfurnished,Villa,High,29815000.0
Visakhapatnam,728,3,2,3,21,Yes,Yes,3,Semi Furnished,Independent House,Low,6295000.0
Pune,670,3,2,1,17,No,No,1,Semi Furnished,Plot,High,6115000.0
Anantapur,794,5,2,3,15,Yes,Yes,1,Semi Furnished,Independent House,Low,5936000.0
Tirupati,4784,1,3,3,28,Yes,Yes,2,Semi Furnished,Villa,Low,40248000.0
Chennai,925,1,4,4,10,Yes,Yes,2,Unfurnished,Villa,Low,11354000.0
Bengaluru,1418,4,4,1,15,Yes,Yes,2,Semi Furnished,Independent House,Low,17322000.0
Rajahmundry,3753,3,2,1,13,No,Yes,3,Unfurnished,Apartment,Low,19005000.0
Bengaluru,998,1,2,1,2,Yes,Yes,3,Unfurnished,Apartment,Medium,11760000.0
Chennai,3309,5,2,4,20,Yes,Yes,1,Unfurnished,Apartment,Low,27637000.0
Kakinada,1325,3,4,4,1,Yes,Yes,0,Fully Furnished,Apartment,Medium,12362000.0
Rajahmundry,4279,4,4,4,2,No,Yes,0,Fully Furnished,Independent House,Low,30280000.0
Pune,2358,5,2,4,3,Yes,Yes,0,Semi Furnished,Plot,Medium,20379000.0
Vijayawada,2618,2,3,4,21,No,Yes,0,Unfurnished,Apartment,High,20821000.0
Visakhapatnam,645,4,1,1,4,Yes,Yes,0,Fully Furnished,Villa,High,11295000.0
Rajahmundry,4077,5,1,2,9,Yes,Yes,2,Semi Furnished,Apartment,Medium,26022000.0
Srikakulam,692,1,1,4,19,Yes,Yes,1,Fully Furnished,Plot,Low,2434000.0
Guntur,4388,2,4,2,28,Yes,Yes,0,Unfurnished,Independent House,Medium,28056000.0
Ongole,551,4,4,3,30,Yes,Yes,0,Semi Furnished,Plot,Medium,1748000.0
Visakhapatnam,2910,1,1,3,1,Yes,Yes,0,Unfurnished,Plot,Low,14950000.0
Kurnool,2320,2,1,4,11,Yes,Yes,2,Unfurnished,Plot,High,10096000.0
Anantapur,3464,3,3,3,26,No,No,0,Fully Furnished,Apartment,Medium,20499000.0
Delhi,3021,1,4,2,4,Yes,Yes,1,Semi Furnished,Apartment,High,45997000.0
Kadapa,2369,5,4,3,4,Yes,Yes,2,Semi Furnished,Plot,High,13587000.0
Nellore,3068,4,1,3,26,Yes,Yes,2,Semi Furnished,Independent House,High,24688000.0
Kadapa,2367,2,3,2,22,Yes,Yes,3,Fully Furnished,Apartment,Medium,14622000.0
Srikakulam,3238,1,3,3,0,Yes,Yes,3,Semi Furnished,Independent House,Medium,19981000.0
Ongole,3769,3,1,4,3,Yes,Yes,2,Fully Furnished,Apartment,Low,23611000.0
Rajahmundry,3699,4,1,2,26,Yes,Yes,0,Semi Furnished,Independent House,Low,21588000.0
Kakinada,3079,4,4,2,20,Yes,Yes,0,Fully Furnished,Apartment,Medium,23745000.0
Tirupati,4505,1,1,1,23,Yes,Yes,0,Semi Furnished,Plot,Low,19407000.0
Nellore,740,3,2,1,11,No,Yes,0,Fully Furnished,Villa,High,9321000.0
Rajahmundry,3940,2,3,2,30,Yes,Yes,3,Unfurnished,Villa,High,32969000.0
Kakinada,1907,1,1,2,11,Yes,Yes,1,Unfurnished,Independent House,Medium,11576000.0
Bengaluru,4002,2,2,1,15,No,Yes,2,Unfurnished,Independent House,High,52051000.0
Bengaluru,4538,4,3,4,23,Yes,Yes,0,Semi Furnished,Plot,Medium,38062000.0
Mumbai,582,2,2,3,16,Yes,Yes,3,Fully Furnished,Plot,Medium,8228000.0
Chennai,4268,3,2,3,20,Yes,Yes,1,Unfurnished,Independent House,Medium,40304000.0
Rajahmundry,1450,5,1,3,9,No,Yes,2,Semi Furnished,Villa,High,16009000.0
Delhi,1110,3,3,2,16,No,Yes,2,Fully Furnished,Plot,Medium,11901000.0
Ongole,4105,2,2,4,16,No,Yes,2,Unfurnished,Independent House,Medium,22977000.0
Kurnool,3783,1,4,1,17,Yes,Yes,0,Unfurnished,Plot,Low,12687000.0
Srikakulam,2673,4,3,4,1,Yes,Yes,2,Semi Furnished,Plot,High,14438000.0
Vijayawada,3984,5,4,4,30,Yes,Yes,0,Fully Furnished,Apartment,Medium,35025000.0
Anantapur,2022,1,1,3,30,Yes,Yes,1,Semi Furnished,Plot,Low,5868000.0
Mumbai,3101,1,4,1,24,No,Yes,3,Unfurnished,Independent House,Medium,44791000.0
Visakhapatnam,3157,3,3,4,3,Yes,Yes,3,Semi Furnished,Plot,High,24680000.0
Hyderabad,2659,2,2,1,18,Yes,Yes,3,Semi Furnished,Independent House,Low,26860000.0
Visakhapatnam,2949,3,2,2,10,No,Yes,2,Unfurnished,Apartment,Low,21102000.0
Delhi,4330,2,3,3,16,No,Yes,3,Unfurnished,Apartment,Medium,49223000.0
Kadapa,621,3,2,1,11,Yes,No,1,Fully Furnished,Villa,Medium,6394000.0
Rajahmundry,4868,1,4,2,1,Yes,Yes,0,Fully Furnished,Apartment,High,40744000.0
Kurnool,1817,4,2,2,5,Yes,Yes,3,Unfurnished,Apartment,High,13320000.0
Guntur,4993,2,2,2,8,Yes,Yes,0,Unfurnished,Independent House,Medium,32478000.0
Guntur,3018,5,4,4,4,Yes,Yes,0,Fully Furnished,Villa,Low,30355000.0
Rajahmundry,1730,5,4,4,19,Yes,Yes,3,Semi Furnished,Apartment,High,14228000.0
Nellore,1633,1,4,3,28,No,Yes,3,Unfurnished,Plot,High,7393000.0
Mumbai,1801,3,1,3,20,Yes,Yes,3,Unfurnished,Villa,Low,29821000.0
Kadapa,4534,3,4,2,8,Yes,Yes,2,Semi Furnished,Apartment,Medium,25933000.0
Nellore,2410,1,4,3,27,Yes,Yes,3,Fully Furnished,Villa,High,26929000.0
Tirupati,2005,5,1,4,28,Yes,Yes,2,Fully Furnished,Apartment,Low,14818000.0
Kurnool,3685,5,2,3,22,Yes,Yes,1,Semi Furnished,Independent House,High,26532000.0
Chennai,2416,3,4,1,7,No,Yes,0,Unfurnished,Villa,Low,27752000.0
Kakinada,4048,2,3,4,30,No,Yes,1,Semi Furnished,Villa,High,40869000.0
Srikakulam,3257,4,4,2,19,Yes,Yes,3,Unfurnished,Apartment,Medium,16989000.0
Kadapa,2456,2,4,2,26,No,Yes,0,Fully Furnished,Villa,Low,17392000.0
Chennai,678,5,1,3,7,Yes,Yes,3,Unfurnished,Apartment,High,9721000.0
Mumbai,1396,2,3,4,21,Yes,Yes,3,Unfurnished,Plot,High,16397000.0
Guntur,2051,4,2,2,20,Yes,Yes,0,Unfurnished,Villa,Low,15526000.0
Hyderabad,991,2,2,2,28,No,Yes,1,Unfurnished,Villa,Low,10789000.0
Hyderabad,560,2,3,4,27,Yes,Yes,3,Unfurnished,Independent House,Medium,5440000.0
Vijayawada,1577,2,4,4,22,Yes,Yes,0,Fully Furnished,Independent House,Low,12957000.0
Tirupati,3395,2,1,2,5,No,Yes,1,Semi Furnished,Villa,High,39658000.0
Kurnool,4660,1,3,3,2,Yes,Yes,2,Fully Furnished,Independent House,Medium,33301000.0
Nellore,4183,5,3,3,4,Yes,No,1,Unfurnished,Villa,Low,31171000.0
Visakhapatnam,1085,4,2,3,8,Yes,Yes,1,Semi Furnished,Apartment,High,13017000.0
Guntur,4460,5,1,1,6,Yes,Yes,0,Unfurnished,Villa,Low,33329000.0
Tirupati,4270,1,3,4,27,Yes,Yes,1,Fully Furnished,Villa,High,53541000.0
Vijayawada,1034,1,1,2,3,Yes,Yes,2,Fully Furnished,Plot,High,8975000.0
Nellore,3962,1,4,1,6,No,No,2,Unfurnished,Independent House,Medium,24418000.0
Visakhapatnam,4511,1,2,3,4,Yes,No,3,Unfurnished,Independent House,Medium,37137000.0
Kakinada,3898,2,4,1,10,Yes,Yes,2,Semi Furnished,Plot,Low,18051000.0
Kurnool,2655,5,1,2,28,Yes,Yes,3,Semi Furnished,Apartment,Medium,15115000.0
Delhi,1504,3,4,2,14,No,Yes,2,Unfurnished,Apartment,Low,16131000.0
Kurnool,2999,4,2,4,1,No,Yes,1,Semi Furnished,Apartment,Medium,19505000.0
Srikakulam,826,1,1,3,12,Yes,Yes,3,Unfurnished,Plot,Medium,3303000.0
Kadapa,3206,5,3,3,21,Yes,Yes,2,Unfurnished,Villa,Low,19673000.0
Vijayawada,501,1,4,1,15,No,Yes,1,Unfurnished,Apartment,Medium,4266000.0
Bengaluru,1533,1,2,3,6,No,Yes,1,Fully Furnished,Apartment,Medium,20269000.0
Srikakulam,2981,1,3,1,7,Yes,Yes,3,Unfurnished,Plot,Medium,10824000.0
Srikakulam,624,1,2,2,5,Yes,No,0,Unfurnished,Independent House,Medium,3649000.0
Kakinada,1604,1,1,2,23,Yes,No,1,Unfurnished,Plot,Low,5504000.0
Vijayawada,3199,4,1,2,6,Yes,Yes,1,Semi Furnished,Independent House,High,32424000.0
Visakhapatnam,2361,5,4,2,17,No,Yes,0,Unfurnished,Apartment,Low,16928000.0
Srikakulam,3420,1,2,2,29,Yes,Yes,3,Fully Furnished,Apartment,Low,16104000.0
Mumbai,628,1,2,1,21,Yes,Yes,2,Fully Furnished,Villa,Low,12899000.0
Guntur,937,1,2,2,24,Yes,Yes,2,Unfurnished,Villa,Medium,6714000.0
Visakhapatnam,3048,1,1,1,27,Yes,Yes,1,Unfurnished,Independent House,Medium,22175000.0
Vijayawada,3629,2,4,2,21,Yes,Yes,0,Unfurnished,Apartment,High,29239000.0
Kakinada,1721,2,2,1,19,Yes,Yes,1,Fully Furnished,Apartment,Medium,12700000.0
Bengaluru,1401,3,2,1,6,Yes,Yes,3,Semi Furnished,Plot,High,15572000.0
Delhi,3668,1,3,1,2,Yes,Yes,1,Semi Furnished,Apartment,High,54972000.0
Kadapa,4986,3,2,3,4,Yes,Yes,2,Unfurnished,Apartment,Medium,25280000.0
Mumbai,4418,4,4,1,0,No,Yes,0,Semi Furnished,Plot,High,58539000.0
Pune,1567,3,3,1,14,No,Yes,3,Fully Furnished,Plot,Low,13334000.0
Nellore,526,5,3,2,25,Yes,No,1,Unfurnished,Apartment,Low,2787000.0
Srikakulam,1047,2,3,1,2,No,Yes,2,Semi Furnished,Villa,Low,7807000.0
Kadapa,3168,2,1,1,7,Yes,Yes,1,Unfurnished,Villa,High,24475000.0
Bengaluru,1066,1,3,4,24,Yes,Yes,2,Unfurnished,Apartment,High,12150000.0
Visakhapatnam,1203,1,2,3,8,No,Yes,0,Fully Furnished,Villa,Low,13815000.0
Guntur,4780,4,1,4,14,Yes,Yes,3,Fully Furnished,Plot,Medium,26145000.0
Mumbai,3640,4,1,2,9,Yes,Yes,1,Semi Furnished,Villa,Low,67814000.0
Vijayawada,2090,5,1,3,1,No,Yes,3,Fully Furnished,Apartment,Medium,19967000.0
Vijayawada,1305,1,1,3,19,No,Yes,0,Unfurnished,Villa,Medium,11062000.0
Visakhapatnam,4291,1,1,4,4,Yes,Yes,2,Fully Furnished,Apartment,High,47122000.0
Rajahmundry,1857,4,1,3,30,No,Yes,0,Semi Furnished,Villa,High,17337000.0
Bengaluru,3725,4,1,4,18,Yes,Yes,0,Semi Furnished,Apartment,Medium,43208000.0
Anantapur,4118,4,3,1,12,Yes,Yes,3,Semi Furnished,Apartment,Medium,24120000.0
Kurnool,2626,2,4,4,10,Yes,Yes,0,Fully Furnished,Villa,Medium,23990000.0
Kakinada,2960,3,2,3,0,Yes,Yes,1,Fully Furnished,Villa,High,35900000.0
Guntur,1045,3,2,3,21,Yes,Yes,2,Fully Furnished,Plot,Low,5256000.0
Rajahmundry,3228,1,3,2,29,Yes,Yes,0,Fully Furnished,Independent House,Medium,22283000.0
Visakhapatnam,4234,2,3,2,14,Yes,Yes,1,Fully Furnished,Apartment,High,47276000.0
Tirupati,3062,4,1,2,25,Yes,Yes,2,Semi Furnished,Apartment,Low,19678000.0
Bengaluru,2579,1,4,2,17,Yes,Yes,3,Semi Furnished,Apartment,High,35265000.0
Kurnool,3141,2,1,3,15,Yes,Yes,2,Fully Furnished,Apartment,Low,18078000.0
Bengaluru,3614,5,3,2,8,No,Yes,3,Unfurnished,Villa,High,61550000.0
Visakhapatnam,2426,2,1,4,0,Yes,Yes,2,Semi Furnished,Villa,Low,25965000.0
Chennai,1116,1,2,1,10,Yes,Yes,0,Unfurnished,Independent House,Medium,11617000.0
Chennai,4144,3,2,3,8,Yes,Yes,3,Unfurnished,Apartment,High,44832000.0
Tirupati,1703,4,1,2,22,No,Yes,3,Semi Furnished,Independent House,Low,12093000.0
Srikakulam,2259,5,4,3,10,Yes,Yes,3,Unfurnished,Plot,Low,9874000.0
Pune,3065,2,1,2,12,Yes,Yes,0,Unfurnished,Independent House,Low,28035000.0
Anantapur,3674,1,1,3,25,Yes,Yes,0,Semi Furnished,Independent House,Medium,20398000.0
Kakinada,3581,1,4,2,1,Yes,Yes,2,Semi Furnished,Plot,High,21300000.0
Visakhapatnam,3130,4,4,1,13,Yes,Yes,2,Fully Furnished,Plot,Low,20807000.0
Hyderabad,3661,1,4,2,5,Yes,Yes,0,Semi Furnished,Independent House,Medium,41802000.0
Bengaluru,4821,1,2,4,7,No,Yes,0,Unfurnished,Plot,Medium,36275000.0
Delhi,1169,4,1,3,30,Yes,Yes,3,Semi Furnished,Independent House,Medium,15247000.0
Guntur,3668,5,3,3,17,No,Yes,2,Fully Furnished,Villa,Medium,37027000.0
Kurnool,2621,3,4,4,15,No,Yes,2,Semi Furnished,Villa,Medium,21108000.0
Vijayawada,4578,3,4,4,30,No,Yes,3,Unfurnished,Independent House,Medium,32746000.0
Chennai,4651,2,1,1,20,No,Yes,3,Semi Furnished,Plot,Medium,32290000.0
Kurnool,1219,5,3,3,28,No,Yes,3,Unfurnished,Plot,High,5693000.0
Chennai,3100,2,1,1,11,Yes,Yes,1,Semi Furnished,Villa,High,48874000.0
Tirupati,4098,3,1,3,10,Yes,No,1,Fully Furnished,Villa,Medium,45408000.0
Rajahmundry,1166,4,4,3,5,Yes,Yes,0,Fully Furnished,Plot,Low,7522000.0
Visakhapatnam,783,1,4,1,2,No,Yes,2,Semi Furnished,Plot,Low,6010000.0
Chennai,4403,3,2,3,13,Yes,Yes,3,Unfurnished,Plot,Low,26044000.0
Pune,4065,5,3,3,27,Yes,Yes,3,Fully Furnished,Plot,Medium,35368000.0
Rajahmundry,2734,3,3,1,1,Yes,Yes,2,Unfurnished,Independent House,Low,17404000.0
Chennai,1965,5,4,2,30,No,Yes,1,Semi Furnished,Plot,High,17105000.0
Kurnool,629,5,4,1,10,No,Yes,2,Fully Furnished,Villa,High,8328000.0
Mumbai,2560,5,4,3,21,Yes,Yes,0,Fully Furnished,Villa,High,69497000.0
Chennai,4172,2,3,4,2,Yes,Yes,1,Unfurnished,Apartment,High,45726000.0
Visakhapatnam,2994,4,2,2,17,Yes,Yes,2,Fully Furnished,Plot,Medium,20348000.0
Ongole,1492,3,3,4,30,Yes,Yes,2,Unfurnished,Independent House,High,9921000.0
Kakinada,2621,4,4,2,0,Yes,Yes,0,Unfurnished,Apartment,Low,16767000.0
Hyderabad,3084,1,4,4,29,Yes,Yes,2,Semi Furnished,Apartment,Low,27381000.0
Anantapur,4696,3,2,2,23,No,Yes,1,Unfurnished,Independent House,High,28256000.0
Chennai,2723,4,1,1,0,Yes,Yes,3,Fully Furnished,Apartment,High,37046000.0
Kakinada,3688,4,1,2,11,Yes,No,3,Unfurnished,Apartment,High,26957000.0
Bengaluru,3737,1,3,2,14,No,Yes,3,Fully Furnished,Villa,Low,58920000.0
Chennai,4636,5,1,2,4,Yes,Yes,1,Unfurnished,Apartment,Low,39532000.0
Kurnool,843,3,1,3,26,Yes,Yes,2,Semi Furnished,Independent House,High,6442000.0
Tirupati,4961,3,3,4,5,Yes,Yes,2,Semi Furnished,Plot,Low,25144000.0
Rajahmundry,2776,1,4,1,15,No,Yes,2,Unfurnished,Plot,Low,9467000.0
Pune,3701,5,1,4,26,Yes,Yes,2,Unfurnished,Plot,Medium,26228000.0
Kakinada,1388,3,4,4,11,Yes,Yes,3,Unfurnished,Villa,High,15191000.0
Guntur,2543,3,3,1,11,No,Yes,1,Semi Furnished,Villa,High,27759000.0
Chennai,1841,3,4,3,2,No,Yes,0,Unfurnished,Villa,Medium,23775000.0
Kadapa,4220,5,4,2,29,Yes,Yes,1,Unfurnished,Independent House,Medium,22194000.0
Visakhapatnam,3383,1,3,3,22,No,Yes,2,Fully Furnished,Plot,Low,19785000.0
Kakinada,4712,3,4,3,1,No,Yes,2,Semi Furnished,Independent House,Medium,35015000.0
Chennai,2915,4,1,2,6,No,Yes,1,Semi Furnished,Independent House,High,37472000.0
Kakinada,1617,5,1,4,1,No,Yes,1,Unfurnished,Apartment,High,12864000.0
Tirupati,4763,2,1,2,20,Yes,Yes,3,Unfurnished,Plot,High,25817000.0
Tirupati,3501,1,1,1,6,Yes,No,2,Fully Furnished,Apartment,Low,24857000.0
Rajahmundry,2238,4,4,2,10,Yes,Yes,1,Unfurnished,Villa,Low,16680000.0
Vijayawada,1864,3,1,4,10,Yes,Yes,2,Semi Furnished,Villa,High,23411000.0
Kakinada,3208,2,4,3,13,No,Yes,1,Fully Furnished,Independent House,High,29849000.0
Chennai,1424,1,2,3,2,No,Yes,2,Semi Furnished,Independent House,Low,14966000.0
Kakinada,651,5,4,2,13,Yes,Yes,1,Unfurnished,Apartment,Low,5509000.0
Mumbai,1085,2,1,1,10,Yes,Yes,2,Fully Furnished,Apartment,Medium,18792000.0
Pune,1412,2,2,4,3,Yes,Yes,0,Semi Furnished,Independent House,Low,16520000.0
Mumbai,2821,4,3,3,16,Yes,Yes,3,Semi Furnished,Plot,Low,28936000.0
Srikakulam,995,1,4,2,15,No,Yes,0,Semi Furnished,Independent House,High,6928000.0
Visakhapatnam,4295,4,1,1,2,Yes,No,3,Unfurnished,Plot,High,28444000.0
Kadapa,2648,4,1,1,24,Yes,Yes,3,Unfurnished,Apartment,High,14973000.0
Chennai,1056,3,1,3,9,Yes,Yes,1,Unfurnished,Villa,Medium,13774000.0
Delhi,2052,5,3,3,20,Yes,Yes,0,Unfurnished,Villa,Low,29154000.0
Nellore,2620,2,2,4,30,No,Yes,3,Semi Furnished,Apartment,Medium,15130000.0
Mumbai,3585,1,2,1,14,Yes,Yes,2,Fully Furnished,Apartment,Low,53889000.0
Nellore,4004,5,1,4,7,No,Yes,1,Unfurnished,Villa,Low,28965000.0
Visakhapatnam,656,5,4,1,17,Yes,Yes,1,Fully Furnished,Plot,High,7327000.0
Srikakulam,1234,1,1,1,2,Yes,Yes,2,Semi Furnished,Apartment,Low,6217000.0
Guntur,3776,5,1,2,6,Yes,Yes,2,Unfurnished,Plot,Medium,18743000.0
Kakinada,654,3,4,3,29,No,Yes,3,Semi Furnished,Plot,High,3492000.0
Kakinada,1496,5,1,1,9,Yes,Yes,2,Unfurnished,Villa,Medium,13467000.0
Tirupati,2794,3,3,4,19,Yes,Yes,1,Unfurnished,Plot,Medium,14316000.0
Visakhapatnam,3405,2,1,3,8,Yes,Yes,2,Fully Furnished,Villa,High,50375000.0
Pune,1677,2,3,4,13,Yes,Yes,0,Semi Furnished,Apartment,Low,16721000.0
Vijayawada,653,4,1,3,22,Yes,Yes,1,Semi Furnished,Independent House,Medium,6258000.0
Guntur,4687,3,2,3,13,Yes,Yes,2,Semi Furnished,Independent House,Low,31286000.0
Rajahmundry,2216,2,4,1,10,Yes,Yes,1,Fully Furnished,Independent House,High,20530000.0
Hyderabad,3702,5,2,2,27,Yes,Yes,3,Fully Furnished,Independent House,Low,41263000.0
Bengaluru,3357,1,1,1,0,Yes,Yes,0,Semi Furnished,Independent House,Low,38160000.0
Rajahmundry,1286,1,1,3,3,Yes,No,3,Semi Furnished,Independent House,High,10665000.0
Srikakulam,4868,3,3,1,25,No,Yes,0,Unfurnished,Plot,Low,14064000.0
Srikakulam,4772,4,1,1,26,Yes,Yes,2,Unfurnished,Plot,Medium,15681000.0
Chennai,4267,5,1,3,5,No,Yes,1,Fully Furnished,Independent House,Medium,52422000.0
Bengaluru,3378,3,1,3,21,Yes,Yes,2,Unfurnished,Apartment,Medium,35006000.0
Bengaluru,1142,1,2,1,25,No,Yes,3,Semi Furnished,Apartment,Low,11200000.0
Kakinada,1165,3,3,1,21,Yes,Yes,1,Semi Furnished,Plot,Medium,5294000.0
Rajahmundry,3926,5,2,1,4,Yes,Yes,2,Unfurnished,Plot,Low,16030000.0
